id_anotacion,id_candidato,t_inicio,t_fin,categoria,notas,device_code,origen,created_at
1,2,2026-04-08 13:41:00+00:00,2026-04-08 13:46:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:19:06.938583+00:00
2,1,2026-04-08 09:10:00+00:00,2026-04-08 09:15:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:24:19.037900+00:00
3,4,2026-04-08 23:22:00+00:00,2026-04-08 23:26:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:24:44.094087+00:00
4,6,2026-04-09 04:59:00+00:00,2026-04-09 05:11:00+00:00,ruido,,KPCL0034,candidato_auto,2026-06-26T04:24:53.133810+00:00
5,8,2026-04-09 11:55:00+00:00,2026-04-09 12:01:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:26:33.157092+00:00
6,10,2026-04-09 19:25:00+00:00,2026-04-09 19:36:00+00:00,ruido,,KPCL0034,candidato_auto,2026-06-26T04:26:57.174279+00:00
7,12,2026-04-09 23:06:00+00:00,2026-04-09 23:24:00+00:00,ruido,,KPCL0034,candidato_auto,2026-06-26T04:27:27.814796+00:00
8,14,2026-04-10 01:40:00+00:00,2026-04-10 01:49:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:27:55.029895+00:00
9,16,2026-04-10 08:55:00+00:00,2026-04-10 09:10:00+00:00,ruido,,KPCL0034,candidato_auto,2026-06-26T04:28:16.933727+00:00
10,18,2026-04-10 12:36:00+00:00,2026-04-10 12:41:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:28:40.302207+00:00
11,20,2026-04-10 21:12:00+00:00,2026-04-10 21:18:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:29:06.024665+00:00
12,22,2026-04-11 07:27:00+00:00,2026-04-11 07:38:00+00:00,ruido,,KPCL0034,candidato_auto,2026-06-26T04:29:16.581614+00:00
13,24,2026-04-11 18:02:00+00:00,2026-04-11 18:08:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:29:31.746442+00:00
14,26,2026-04-12 01:35:00+00:00,2026-04-12 01:39:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:29:52.811870+00:00
15,28,2026-04-12 10:53:00+00:00,2026-04-12 11:04:00+00:00,ruido,,KPCL0034,candidato_auto,2026-06-26T04:30:08.734261+00:00
16,30,2026-04-12 14:19:00+00:00,2026-04-12 14:25:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:30:26.546729+00:00
17,32,2026-04-12 21:26:00+00:00,2026-04-12 21:31:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:30:43.948975+00:00
18,34,2026-04-13 10:23:00+00:00,2026-04-13 10:37:00+00:00,ruido,,KPCL0034,candidato_auto,2026-06-26T04:31:49.953555+00:00
19,36,2026-04-13 12:20:00+00:00,2026-04-13 12:25:00+00:00,servido,,KPCL0034,candidato_auto,2026-06-26T04:32:17.493485+00:00
20,38,2026-04-13 13:26:00+00:00,2026-04-13 13:32:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:32:32.162306+00:00
21,40,2026-04-13 19:05:00+00:00,2026-04-13 19:12:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:32:48.928507+00:00
22,42,2026-04-14 00:05:00+00:00,2026-04-14 00:10:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:33:15.554649+00:00
23,44,2026-04-14 12:07:00+00:00,2026-04-14 12:08:00+00:00,servido,,KPCL0034,candidato_auto,2026-06-26T04:34:14.517201+00:00
24,46,2026-04-14 21:44:00+00:00,2026-04-14 21:51:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:35:02.359629+00:00
25,48,2026-04-15 08:40:00+00:00,2026-04-15 08:45:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:35:19.600242+00:00
27,52,2026-04-15 21:27:00+00:00,2026-04-15 21:32:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:36:04.313220+00:00
28,54,2026-04-16 14:08:00+00:00,2026-04-16 14:14:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:36:34.915694+00:00
29,56,2026-04-19 05:11:00+00:00,2026-04-19 05:23:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:36:59.187616+00:00
30,58,2026-04-19 15:50:00+00:00,2026-04-19 15:55:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:37:39.232429+00:00
31,60,2026-04-19 20:33:00+00:00,2026-04-19 20:41:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:38:03.024065+00:00
32,62,2026-04-20 02:17:00+00:00,2026-04-20 02:28:00+00:00,ruido,,KPCL0034,candidato_auto,2026-06-26T04:38:08.147613+00:00
33,64,2026-04-20 10:49:00+00:00,2026-04-20 10:56:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:38:27.011532+00:00
34,66,2026-04-20 15:51:00+00:00,2026-04-20 15:56:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:38:41.025560+00:00
35,68,2026-04-21 00:18:00+00:00,2026-04-21 00:23:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:39:12.259251+00:00
36,70,2026-04-21 13:38:00+00:00,2026-04-21 13:41:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:39:35.743967+00:00
37,72,2026-04-21 22:34:00+00:00,2026-04-21 22:43:00+00:00,ruido,,KPCL0034,candidato_auto,2026-06-26T04:40:15.271300+00:00
38,74,2026-04-22 07:25:00+00:00,2026-04-22 07:32:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:41:09.032667+00:00
39,76,2026-04-22 15:20:00+00:00,2026-04-22 15:25:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:41:25.312896+00:00
41,80,2026-04-23 13:14:00+00:00,2026-04-23 13:20:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:42:43.627211+00:00
42,82,2026-04-23 16:24:00+00:00,2026-04-23 16:30:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:42:59.449098+00:00
43,84,2026-04-24 01:50:00+00:00,2026-04-24 01:56:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:43:12.816516+00:00
44,86,2026-04-24 17:53:00+00:00,2026-04-24 17:54:00+00:00,servido,,KPCL0034,candidato_auto,2026-06-26T04:43:32.764808+00:00
46,90,2026-04-25 09:46:00+00:00,2026-04-25 09:53:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:44:05.006535+00:00
47,92,2026-04-25 20:38:00+00:00,2026-04-25 20:44:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:44:16.921754+00:00
48,94,2026-04-26 02:40:00+00:00,2026-04-26 02:42:00+00:00,servido,,KPCL0034,candidato_auto,2026-06-26T04:44:30.894108+00:00
49,96,2026-04-26 09:10:00+00:00,2026-04-26 09:15:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:44:45.931821+00:00
50,98,2026-04-26 18:09:00+00:00,2026-04-26 18:14:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:45:29.989680+00:00
