id_anotacion,id_candidato,t_inicio,t_fin,etiqueta_humana,prediccion_motor,confianza,razon
6,10,2026-04-09 19:25:00+00:00,2026-04-09 19:36:00+00:00,ruido,alimentacion,1.0,"Features clave: fractal_katz, lempel_ziv, tpl_serv_brusco"
7,12,2026-04-09 23:06:00+00:00,2026-04-09 23:24:00+00:00,ruido,servido,1.0,"Features clave: energy_signal, stat_iqr, tpl_doble_rampa"
32,62,2026-04-20 02:17:00+00:00,2026-04-20 02:28:00+00:00,ruido,servido,1.0,"Features clave: straightness, tortuosity, d1_std"
15,28,2026-04-12 10:53:00+00:00,2026-04-12 11:04:00+00:00,ruido,alimentacion,1.0,"Features clave: zcr, entropy_shannon, lempel_ziv"
74,146,2026-05-04 17:51:00+00:00,2026-05-04 18:06:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, sim_alimentacion"
138,191,2026-05-29 02:01:00+00:00,2026-05-29 02:05:00+00:00,ruido,servido,1.0,"Features clave: autocorr_lag3, tpl_alim_lenta, sim_alimentacion"
133,181,2026-05-28 05:01:00+00:00,2026-05-28 05:11:00+00:00,alimentacion,ruido,1.0,"Features clave: stat_kurtosis, zcr, entropy_shannon"
127,169,2026-05-26 11:36:00+00:00,2026-05-26 11:48:00+00:00,ruido,alimentacion,1.0,"Features clave: lempel_ziv, fractal_katz, tpl_sigmoide"
178,271,2026-06-05 15:29:00+00:00,2026-06-05 15:40:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, tpl_alim_escalonada"
161,237,2026-06-02 17:41:00+00:00,2026-06-02 17:52:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, sim_alimentacion"
158,231,2026-06-02 01:05:00+00:00,2026-06-02 01:11:00+00:00,ruido,servido,1.0,"Features clave: tpl_sigmoide, sim_alimentacion, sim_servido"
180,275,2026-06-05 19:50:00+00:00,2026-06-05 19:57:00+00:00,ruido,servido,1.0,"Features clave: sim_alimentacion, sim_servido, tpl_ramp_down"
