id_anotacion,id_candidato,t_inicio,t_fin,categoria,notas,device_code,origen,created_at
0,0,2026-04-08 03:14:00+00:00,2026-04-08 03:19:00+00:00,servido,duda,KPCL0034,candidato_auto,2026-06-26T04:17:41.262650+00:00
1,2,2026-04-08 13:41:00+00:00,2026-04-08 13:46:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:19:06.938583+00:00
2,1,2026-04-08 09:10:00+00:00,2026-04-08 09:15:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:24:19.037900+00:00
3,4,2026-04-08 23:22:00+00:00,2026-04-08 23:26:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:24:44.094087+00:00
4,6,2026-04-09 04:59:00+00:00,2026-04-09 05:11:00+00:00,ruido,,KPCL0034,candidato_auto,2026-06-26T04:24:53.133810+00:00
5,8,2026-04-09 11:55:00+00:00,2026-04-09 12:01:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:26:33.157092+00:00
6,10,2026-04-09 19:25:00+00:00,2026-04-09 19:36:00+00:00,ruido,,KPCL0034,candidato_auto,2026-06-26T04:26:57.174279+00:00
7,12,2026-04-09 23:06:00+00:00,2026-04-09 23:24:00+00:00,ruido,,KPCL0034,candidato_auto,2026-06-26T04:27:27.814796+00:00
8,14,2026-04-10 01:40:00+00:00,2026-04-10 01:49:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:27:55.029895+00:00
9,16,2026-04-10 08:55:00+00:00,2026-04-10 09:10:00+00:00,ruido,,KPCL0034,candidato_auto,2026-06-26T04:28:16.933727+00:00
10,18,2026-04-10T12:36:00+00:00,2026-04-10T12:41:00+00:00,alimentacion,,KPCL0034,candidato_auto,2026-06-26T04:28:40.302207+00:00
