id_anotacion,id_candidato,t_inicio,t_fin,categoria,notas,n_lecturas,monotonicity,r2_lineal,zcr,sim_alimentacion,sim_servido,d1_mean,d1_std,d1_max,d1_min,d1_energy,d1_rms,d2_mean,d2_std,d2_max,d2_min,d2_energy,d2_rms,d3_mean,d3_std,d3_max,d3_min,d3_energy,d3_rms,d1_n_sign_changes,d2_n_sign_changes,d1_frac_pos,d1_frac_neg,curvature_mean,curvature_max,curvature_min,curvature_std,curvature_integral,arc_length,arc_length_per_min,arc_vs_displacement,arc_per_n,tortuosity,straightness,energy_signal,energy_d1,energy_d2,rms_signal,rms_d1,energy_ratio_d1_signal,entropy_shannon,entropy_permutation,entropy_sample,fractal_higuchi,fractal_katz,lempel_ziv,freq_dominant_hz,freq_centroid_hz,power_ratio_low,autocorr_lag1,autocorr_lag3,autocorr_lag5,spectral_entropy,stat_median,stat_mad,stat_iqr,stat_skewness,stat_kurtosis,stat_trimmed_mean,stat_cv,n_maxima,n_minima,n_plateaus,peak_prominence_mean,peak_width_mean,peak_density,peak_height_max,valley_depth_min,tpl_ramp_down,tpl_exp_decay,tpl_alim_lenta,tpl_alim_escalonada,tpl_ramp_up,tpl_exp_rise,tpl_sigmoide,tpl_serv_brusco,tpl_plateau,tpl_triangular,tpl_parabola_down,tpl_doble_rampa,time_to_max_s,time_to_min_s,time_to_25pct_s,time_to_50pct_s,time_to_75pct_s,rise_time_s,fall_time_s,settling_time_s,overshoot_g,undershoot_g,initial_slope_g_min,final_slope_g_min,idx_arc_per_delta,idx_energy_per_min,idx_complexity,idx_linearity,idx_template_max,idx_shape_noise
1,2,2026-04-08 13:41:00+00:00,2026-04-08 13:46:00+00:00,alimentacion,,11,-0.4,0.8993,0.5,0.9621,-0.9621,-0.0433,0.0559,0.0,-0.1333,0.05,0.0707,-0.0005,0.0026,0.0044,-0.0044,0.0001,0.0026,-0.0,0.0001,0.0002,-0.0001,0.0,0.0001,5,7,0.0,0.4,0.00095,0.002207,0.0,0.000862,0.2812,300.747,60.149,23.134,27.341,1.0016,0.9985,411497.0,0.05,0.0001,193.414,0.0707,0.0,2.1626,0.7316,21.8219,1.0,1.0,2.2015,0.00303,0.005248,0.7795,0.7469,0.3285,-0.4723,1.5239,196.0,2.0,8.0,-0.5142,-1.1709,193.778,0.0227,0,0,0,0.0,0.0,0.0,198.0,185.0,0.9621,0.886,0.9008,0.9557,-0.9621,-0.886,-0.9715,-0.7914,0.0,0.5016,0.551,0.9852,0.0,300.0,90.0,180.0,210.0,210.0,210.0,300.0,0.0,13.0,-0.0,-8.0,23.1344,0.01,21.8219,0.3597,0.9852,2.2015
2,1,2026-04-08 09:10:00+00:00,2026-04-08 09:15:00+00:00,alimentacion,,11,-0.4,0.9064,0.7,0.9865,-0.9865,-0.0467,0.0763,0.1,-0.1667,0.08,0.0894,0.0005,0.0046,0.0067,-0.0089,0.0002,0.0046,-0.0,0.0003,0.0004,-0.0005,0.0,0.0003,7,7,0.1,0.5,0.000977,0.002207,0.0,0.000839,0.2651,301.195,60.239,21.514,27.381,1.0029,0.9971,460444.0,0.08,0.0002,204.594,0.0894,0.0,2.3685,0.8175,20.7233,1.0,0.8705,2.2015,0.00303,0.005948,0.7166,0.6675,0.3387,-0.251,1.7777,205.0,3.0,7.0,-0.0774,-1.2083,204.444,0.0217,0,1,0,0.0,0.0,0.0,212.0,205.0,0.9865,0.9647,0.975,0.9818,-0.9865,-0.9647,-0.9779,-0.9141,0.0,0.6672,0.723,0.9487,0.0,270.0,30.0,120.0,210.0,270.0,270.0,270.0,0.0,14.0,-8.0,-0.0,21.5139,0.016,20.7233,0.3626,0.9865,2.2015
3,4,2026-04-08 23:22:00+00:00,2026-04-08 23:26:00+00:00,alimentacion,,9,-0.375,0.7688,0.875,0.9581,-0.9581,-0.0667,0.1302,0.1333,-0.3333,0.1711,0.1462,-0.0016,0.0072,0.0078,-0.0156,0.0004,0.0074,-0.0001,0.0004,0.0004,-0.0008,0.0,0.0004,7,6,0.125,0.5,0.002237,0.006641,0.000277,0.002224,0.4628,242.518,60.63,15.157,26.946,1.0083,0.9918,238661.0,0.1711,0.0004,162.843,0.1462,1e-06,2.1972,0.5334,0.0,1.0,0.8442,2.4655,0.003704,0.008929,0.5136,0.2783,0.0363,-0.4701,1.9671,163.0,1.0,2.0,-0.5705,0.0284,163.286,0.0283,0,1,0,0.0,0.0,0.0,169.0,159.0,0.9581,0.9332,0.9396,0.9428,-0.9581,-0.9332,-0.9427,-0.895,0.0,0.6487,0.6694,0.8994,0.0,240.0,60.0,120.0,180.0,240.0,240.0,240.0,0.0,16.0,-0.0,-20.0,15.1574,0.0428,0.0,0.2883,0.9581,2.4655
4,6,2026-04-09 04:59:00+00:00,2026-04-09 05:11:00+00:00,ruido,,25,0.0,0.0608,0.125,0.0784,-0.0784,-0.0014,1.1307,3.9,-3.9333,30.6811,1.1307,0.0,0.0667,0.2611,-0.1311,0.1023,0.0667,0.0,0.0041,0.0131,-0.013,0.0004,0.0041,3,4,0.0417,0.0417,0.005223,0.065251,0.0,0.015108,3.9174,902.539,75.212,902.539,36.102,1.2535,0.7978,478569.0,30.6811,0.1023,138.357,1.1307,6.4e-05,0.2423,0.1985,0.2054,1.4523,0.8237,1.6718,0.006667,0.008714,0.4977,-0.0522,-0.0615,-0.0099,3.5847,141.0,0.0,0.0,-4.6933,20.0325,141.048,0.1682,0,0,1,0.0,0.0,0.0,142.0,24.0,0.0784,0.1236,0.1373,0.0355,-0.0784,-0.1236,-0.0515,-0.1344,0.0,0.1225,0.1579,0.0298,0.0,90.0,0.0,0.0,120.0,120.0,120.0,120.0,0.0,118.0,-24.0,-0.0,902.539,2.5568,0.2983,0.0,0.1579,2.428
5,8,2026-04-09 11:55:00+00:00,2026-04-09 12:01:00+00:00,alimentacion,,13,-0.3333,0.9332,0.8333,0.9842,-0.9842,-0.0444,0.0864,0.1333,-0.2,0.1133,0.0972,-0.0,0.0056,0.0078,-0.0111,0.0003,0.0056,0.0,0.0004,0.0006,-0.0006,0.0,0.0004,10,10,0.0833,0.4167,0.000809,0.001941,0.0,0.000611,0.2656,361.69,60.282,22.606,27.822,1.0037,0.9963,183097.0,0.1133,0.0003,118.678,0.0972,1e-06,2.5074,0.6487,20.7233,0.4113,0.8635,1.9925,0.002564,0.004564,0.8533,0.7924,0.4524,-0.053,1.593,117.0,4.0,10.0,-0.0164,-1.2837,118.545,0.0485,0,0,0,0.0,0.0,0.0,127.0,110.0,0.9842,0.9379,0.9457,0.9791,-0.9842,-0.9379,-0.9879,-0.8702,0.0,0.6434,0.6733,0.967,90.0,330.0,60.0,180.0,270.0,210.0,210.0,330.0,1.0,16.0,-0.0,-0.0,22.6056,0.0189,8.5235,0.311,0.9879,0.8195
6,10,2026-04-09 19:25:00+00:00,2026-04-09 19:36:00+00:00,ruido,,23,-0.1818,0.5935,0.3182,0.9379,-0.9379,-0.0182,0.0399,0.0,-0.1333,0.0422,0.0438,0.0002,0.0019,0.0044,-0.0033,0.0001,0.0019,-0.0,0.0001,0.0002,-0.0003,0.0,0.0001,7,7,0.0,0.1818,0.000287,0.002164,0.0,0.00053,0.1653,660.631,60.057,55.053,28.723,1.0008,0.9992,588416.0,0.0422,0.0001,159.948,0.0438,0.0,1.4801,0.4823,0.1542,0.2863,1.0,1.5734,0.001449,0.003945,0.864,0.7524,0.4379,0.151,2.339,158.0,0.0,3.0,1.6722,1.7431,159.263,0.0209,0,0,1,0.0,0.0,0.0,170.0,158.0,0.9379,0.9905,0.9862,0.9298,-0.9379,-0.9905,-0.9065,-0.9971,0.0,0.8942,0.927,0.8026,0.0,210.0,30.0,90.0,150.0,210.0,210.0,210.0,0.0,12.0,-4.2,0.0,55.0526,0.0038,0.0441,0.1079,0.9971,0.4505
7,12,2026-04-09 23:06:00+00:00,2026-04-09 23:24:00+00:00,ruido,,37,0.0556,0.711,0.1389,-0.9616,0.9616,0.0824,0.4652,2.0667,-1.1667,8.0367,0.4725,0.0,0.0217,0.0611,-0.0689,0.0165,0.0217,-0.0,0.0012,0.0033,-0.0039,0.0,0.0012,5,7,0.0833,0.0278,0.002906,0.029675,0.0,0.006149,3.226,1162.644,64.591,13.063,31.423,1.0729,0.9321,1820231.0,8.0367,0.0165,221.8,0.4725,4e-06,1.4944,0.1444,0.1438,0.3458,0.8616,1.8303,0.000901,0.002717,0.938,0.8545,0.5715,0.4977,2.1895,246.0,0.0,47.0,-0.6416,-0.926,223.161,0.1403,1,1,2,35.0,5.958,0.056,199.0,164.0,-0.9616,-0.9732,-0.9743,-0.9484,0.9616,0.9732,0.9506,0.9505,0.0,-0.8133,-0.8485,-0.8768,510.0,0.0,480.0,90.0,510.0,60.0,60.0,510.0,0.0,0.0,18.0,0.0,13.0634,0.4465,0.0497,0.0395,0.9743,0.6329
8,14,2026-04-10 01:40:00+00:00,2026-04-10 01:49:00+00:00,alimentacion,,19,-0.0556,0.7253,0.6667,0.9453,-0.9453,-0.0333,0.1528,0.2333,-0.4,0.44,0.1563,-0.0,0.0083,0.0133,-0.0211,0.0012,0.0083,0.0,0.0005,0.0011,-0.0009,0.0,0.0005,12,11,0.2778,0.3333,0.002346,0.006667,0.0,0.001733,1.237,546.46,60.718,30.359,28.761,1.0114,0.9887,835374.0,0.44,0.0012,209.683,0.1563,1e-06,2.8206,0.7244,21.4164,0.795,0.7156,2.2358,0.001754,0.004454,0.8094,0.7006,0.494,0.2378,2.1445,211.0,6.0,10.0,0.2084,-0.9222,209.353,0.0315,2,2,0,6.5,0.733,0.222,212.0,202.0,0.9453,0.9233,0.9223,0.9361,-0.9453,-0.9233,-0.9456,-0.886,0.0,0.7054,0.7348,0.8959,90.0,510.0,120.0,210.0,450.0,360.0,360.0,510.0,5.0,18.0,0.0,-12.0,30.3589,0.0489,17.026,0.0403,0.9456,1.7775
9,16,2026-04-10 08:55:00+00:00,2026-04-10 09:10:00+00:00,ruido,,31,0.0667,0.1867,0.2333,-0.7465,0.7465,0.01,0.3524,0.9333,-1.4333,3.7278,0.3525,-0.0001,0.0218,0.0756,-0.0789,0.0138,0.0218,-0.0,0.0014,0.0051,-0.0035,0.0001,0.0014,7,9,0.1667,0.1,0.001815,0.012682,0.0,0.003199,1.6792,944.115,62.941,104.902,30.455,1.049,0.9533,631164.0,3.7278,0.0138,142.689,0.3525,6e-06,1.5673,0.4013,0.1299,0.8981,0.7137,1.9178,0.001075,0.009047,0.3906,-0.1177,0.2463,0.0961,3.5687,145.0,0.0,5.5,-0.0802,3.2404,142.92,0.0493,1,1,1,5.0,0.573,0.067,141.0,133.0,-0.7465,-0.7618,-0.7546,-0.7335,0.7465,0.7618,0.7369,0.7532,0.0,-0.6756,-0.6847,-0.6615,240.0,270.0,30.0,60.0,60.0,120.0,120.0,330.0,20.0,14.0,-2.171,0.0,104.9017,0.2485,0.1167,0.0125,0.7618,1.7224
10,18,2026-04-10 12:36:00+00:00,2026-04-10 12:41:00+00:00,alimentacion,,11,-0.3,0.8057,0.8,0.9191,-0.9191,-0.0367,0.0849,0.1333,-0.1667,0.0856,0.0925,0.0,0.0054,0.0067,-0.01,0.0003,0.0054,0.0,0.0004,0.0005,-0.0006,0.0,0.0004,8,8,0.1,0.4,0.000705,0.002222,0.0,0.000733,0.1994,301.277,60.255,27.389,27.389,1.0036,0.9964,345533.0,0.0856,0.0003,177.235,0.0925,0.0,2.2313,0.678,20.7233,1.0,0.8144,2.2015,0.00303,0.005137,0.7886,0.7171,0.1981,-0.5291,1.4489,178.0,3.0,7.0,-0.4884,-1.0956,177.333,0.0244,0,0,0,0.0,0.0,0.0,183.0,170.0,0.9191,0.8227,0.8431,0.9147,-0.9191,-0.8227,-0.9324,-0.7218,0.0,0.4025,0.4518,0.9675,120.0,270.0,150.0,210.0,210.0,180.0,180.0,270.0,2.0,11.0,-0.0,-0.0,27.3888,0.0171,20.7233,0.2417,0.9675,2.2015
