ts,votos
2026-06-12 15:19:00+00:00,2
2026-05-28 11:42:30+00:00,2
2026-04-12 11:59:00+00:00,2
2026-06-12 15:06:30+00:00,2
2026-04-21 22:40:00+00:00,2
2026-04-10 09:02:00+00:00,2
2026-05-04 02:45:30+00:00,2
2026-06-14 03:07:00+00:00,2
2026-06-09 17:41:30+00:00,2
2026-05-06 03:01:00+00:00,2
2026-04-11 08:28:00+00:00,2
2026-04-08 03:18:30+00:00,2
2026-04-08 03:22:00+00:00,2
2026-06-11 09:48:30+00:00,2
2026-05-31 14:46:00+00:00,2
2026-05-31 21:13:00+00:00,2
2026-04-22 15:07:30+00:00,2
2026-04-08 03:31:00+00:00,2
2026-06-02 12:40:00+00:00,2
2026-05-31 14:38:30+00:00,2
2026-06-04 01:43:30+00:00,2
2026-05-29 20:00:30+00:00,2
2026-04-11 08:27:30+00:00,2
2026-05-05 14:50:00+00:00,2
2026-05-27 01:38:30+00:00,2
2026-04-14 12:10:30+00:00,2
2026-05-27 15:21:00+00:00,2
2026-06-07 00:31:30+00:00,2
2026-04-24 18:35:30+00:00,2
2026-04-22 15:07:00+00:00,2
2026-04-26 03:06:30+00:00,2
2026-05-05 21:16:00+00:00,2
2026-04-08 03:19:00+00:00,2
2026-05-03 18:47:30+00:00,2
2026-05-05 23:40:30+00:00,2
2026-04-08 23:28:00+00:00,2
2026-05-06 15:05:30+00:00,2
2026-06-08 13:51:30+00:00,2
2026-04-09 23:24:00+00:00,2
2026-06-11 09:50:00+00:00,2
2026-05-01 12:02:00+00:00,2
2026-04-08 03:36:30+00:00,2
2026-06-05 15:33:30+00:00,2
2026-06-05 19:53:30+00:00,2
2026-06-12 15:04:00+00:00,2
2026-04-14 13:14:30+00:00,2
2026-04-24 18:17:00+00:00,2
2026-06-10 22:20:30+00:00,2
2026-06-08 13:32:00+00:00,2
2026-04-10 04:54:30+00:00,2
2026-04-29 00:02:00+00:00,2
2026-05-30 11:33:00+00:00,2
2026-04-08 03:19:30+00:00,2
2026-05-06 14:05:00+00:00,2
2026-05-05 02:32:30+00:00,2
2026-05-06 02:56:00+00:00,2
2026-06-08 13:19:30+00:00,2
2026-06-07 04:13:30+00:00,2
2026-06-08 17:12:00+00:00,2
2026-05-26 23:27:30+00:00,2
2026-05-05 22:33:00+00:00,2
2026-05-30 00:58:00+00:00,2
2026-05-05 22:32:30+00:00,2
2026-06-13 00:42:30+00:00,2
2026-04-08 03:42:00+00:00,2
2026-04-26 22:30:30+00:00,2
2026-04-29 12:24:30+00:00,2
2026-04-11 12:50:30+00:00,2
2026-04-21 14:04:30+00:00,2
2026-05-29 20:02:00+00:00,2
2026-04-24 18:12:00+00:00,2
2026-06-02 00:40:00+00:00,2
2026-06-12 15:07:00+00:00,2
2026-06-01 09:27:00+00:00,2
2026-06-02 00:31:00+00:00,2
2026-06-02 15:09:30+00:00,2
2026-05-04 12:54:00+00:00,2
2026-06-11 17:42:30+00:00,2
2026-06-02 10:00:00+00:00,2
2026-06-13 17:51:30+00:00,2
2026-05-05 22:45:00+00:00,2
2026-06-08 13:24:00+00:00,2
2026-06-13 17:42:30+00:00,2
2026-05-28 05:01:00+00:00,2
2026-06-06 08:38:00+00:00,2
2026-06-02 21:16:00+00:00,2
2026-04-08 03:34:30+00:00,2
2026-06-10 21:08:00+00:00,2
2026-05-30 04:09:30+00:00,2
2026-06-08 13:22:00+00:00,2
2026-06-13 02:20:30+00:00,2
2026-05-01 11:31:00+00:00,2
2026-06-13 00:52:00+00:00,2
2026-05-30 11:32:00+00:00,2
2026-04-08 03:39:00+00:00,2
2026-06-05 15:33:00+00:00,2
2026-04-12 03:59:00+00:00,2
2026-05-28 14:24:30+00:00,2
2026-05-04 23:29:00+00:00,2
2026-05-27 00:08:00+00:00,2
2026-05-30 11:32:30+00:00,2
2026-06-06 08:36:30+00:00,2
2026-05-27 09:38:30+00:00,2
2026-06-05 23:32:00+00:00,2
2026-06-13 03:12:00+00:00,2
2026-05-05 21:18:30+00:00,2
2026-06-07 00:31:00+00:00,2
2026-06-08 13:31:30+00:00,2
2026-04-08 03:33:00+00:00,2
2026-05-05 23:53:30+00:00,2
2026-04-08 20:49:00+00:00,2
2026-06-06 05:52:30+00:00,2
2026-04-29 11:43:30+00:00,2
2026-04-13 10:28:30+00:00,2
2026-06-02 09:59:30+00:00,2
2026-06-08 13:23:00+00:00,2
2026-06-13 04:29:30+00:00,2
2026-05-26 21:35:30+00:00,2
2026-04-21 22:39:30+00:00,2
2026-06-08 21:20:30+00:00,2
2026-06-07 00:32:00+00:00,2
2026-06-05 23:25:00+00:00,2
2026-06-04 23:30:00+00:00,2
2026-06-05 20:05:00+00:00,2
2026-04-08 03:16:00+00:00,2
2026-04-10 04:51:30+00:00,2
2026-06-08 13:20:00+00:00,2
2026-04-11 00:17:30+00:00,2
2026-04-25 07:06:00+00:00,2
2026-06-05 20:25:30+00:00,2
2026-04-18 20:43:00+00:00,2
2026-06-13 10:38:30+00:00,2
2026-04-12 04:12:30+00:00,2
2026-06-13 04:05:00+00:00,2
2026-06-02 21:08:30+00:00,2
2026-06-02 12:40:30+00:00,2
2026-06-13 00:40:00+00:00,2
2026-05-01 11:25:00+00:00,2
2026-04-09 23:15:00+00:00,2
2026-04-27 04:49:30+00:00,2
2026-05-30 11:31:30+00:00,2
2026-04-08 03:31:30+00:00,2
2026-04-09 23:35:30+00:00,2
2026-04-11 21:50:00+00:00,2
2026-05-29 19:58:00+00:00,2
2026-04-25 07:29:30+00:00,2
2026-05-30 00:42:30+00:00,2
2026-04-09 23:36:30+00:00,2
2026-06-06 05:53:30+00:00,2
2026-04-28 21:08:30+00:00,2
2026-04-08 02:47:30+00:00,2
2026-04-08 03:37:00+00:00,2
2026-04-09 23:14:30+00:00,2
2026-04-08 03:21:00+00:00,2
2026-04-25 16:06:00+00:00,2
2026-05-28 14:25:00+00:00,2
2026-05-29 20:01:30+00:00,2
2026-04-25 16:05:30+00:00,2
2026-04-11 07:30:30+00:00,2
2026-04-26 03:06:00+00:00,2
2026-06-03 17:48:30+00:00,2
2026-04-25 07:04:30+00:00,2
2026-05-31 07:56:30+00:00,2
2026-06-13 00:39:30+00:00,2
2026-04-11 00:18:00+00:00,2
2026-06-02 06:59:30+00:00,2
2026-04-09 23:13:00+00:00,2
2026-05-28 11:53:00+00:00,2
2026-05-03 20:15:30+00:00,2
2026-04-24 18:19:30+00:00,2
2026-04-09 23:24:30+00:00,2
2026-04-10 04:53:00+00:00,2
2026-06-04 01:49:30+00:00,2
2026-05-06 02:45:30+00:00,2
2026-06-13 15:32:30+00:00,2
2026-05-03 20:18:00+00:00,2
2026-06-04 09:23:00+00:00,2
2026-04-24 20:45:30+00:00,2
2026-06-14 00:41:00+00:00,2
2026-04-20 21:18:30+00:00,2
2026-06-08 13:52:00+00:00,2
2026-04-10 04:44:30+00:00,2
2026-04-10 04:40:30+00:00,2
2026-05-31 02:05:00+00:00,2
2026-04-08 03:32:00+00:00,2
2026-04-12 04:13:30+00:00,2
2026-05-26 23:28:00+00:00,2
2026-04-12 11:55:30+00:00,2
2026-05-05 22:45:30+00:00,2
2026-05-05 20:19:00+00:00,2
2026-05-25 01:52:30+00:00,2
2026-04-24 09:30:30+00:00,2
2026-05-29 20:01:00+00:00,2
2026-04-25 07:05:30+00:00,2
2026-05-27 00:07:00+00:00,2
2026-04-08 20:51:00+00:00,2
2026-06-08 13:42:30+00:00,2
2026-06-08 13:19:00+00:00,2
2026-06-05 20:32:00+00:00,2
2026-06-08 13:26:30+00:00,2
2026-04-22 15:23:00+00:00,2
2026-05-01 11:34:00+00:00,2
2026-04-26 03:07:30+00:00,2
2026-06-05 20:57:00+00:00,2
2026-04-25 07:04:00+00:00,2
2026-06-01 09:25:00+00:00,2
2026-06-06 05:53:00+00:00,2
2026-06-05 20:32:30+00:00,2
2026-05-05 20:21:00+00:00,2
2026-05-28 11:40:00+00:00,2
2026-04-25 16:05:00+00:00,2
2026-05-25 01:54:00+00:00,2
2026-04-26 03:05:30+00:00,2
2026-05-04 10:38:30+00:00,2
2026-04-18 20:42:00+00:00,2
2026-06-08 13:50:30+00:00,2
2026-04-14 12:20:30+00:00,2
2026-06-13 20:30:30+00:00,2
2026-06-11 03:51:30+00:00,2
2026-06-13 04:07:00+00:00,2
2026-04-10 04:49:30+00:00,2
2026-06-05 20:56:00+00:00,2
2026-04-08 03:35:30+00:00,2
2026-05-30 09:23:00+00:00,2
2026-05-05 02:28:30+00:00,2
2026-04-24 18:09:30+00:00,2
2026-06-11 09:51:00+00:00,2
2026-04-19 16:49:00+00:00,2
2026-05-05 20:19:30+00:00,2
2026-06-08 13:51:00+00:00,2
2026-04-08 03:43:30+00:00,2
2026-04-14 12:21:30+00:00,2
2026-04-09 23:23:30+00:00,2
