ts_inicio,ts_termino,delta_peso_g,duracion_s,n_lecturas,cluster_id
2026-04-09 23:07:30+00:00,2026-04-09 23:28:30+00:00,45.0,1260.0,40,0
2026-04-27 04:49:00+00:00,2026-04-27 05:03:30+00:00,48.0,870.0,30,0
2026-04-28 21:03:30+00:00,2026-04-28 21:18:00+00:00,40.0,870.0,30,0
2026-05-04 01:43:30+00:00,2026-05-04 01:58:00+00:00,49.0,870.0,30,0
2026-05-30 00:42:00+00:00,2026-05-30 00:56:00+00:00,19.0,840.0,29,0
2026-05-31 14:41:00+00:00,2026-05-31 14:55:30+00:00,25.0,870.0,30,0
2026-06-01 09:14:30+00:00,2026-06-01 09:24:30+00:00,18.0,600.0,14,0
2026-06-02 12:36:00+00:00,2026-06-02 12:41:30+00:00,25.0,330.0,12,0
2026-06-02 21:11:00+00:00,2026-06-02 21:16:00+00:00,13.0,300.0,11,0
2026-06-05 23:15:00+00:00,2026-06-05 23:29:30+00:00,43.0,870.0,30,0
2026-06-10 17:45:30+00:00,2026-06-10 17:58:00+00:00,11.0,750.0,26,0
2026-06-13 04:24:30+00:00,2026-06-13 04:29:00+00:00,14.0,270.0,10,0
